title,company,location,date,description,apply_link,scrape_date,skill_python,skill_javascript,skill_django,skill_flask,skill_sql,skill_aws,skill_docker
"scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
data scientist,Thomas Group,"Port Robertfurt, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
psychiatrist,Silva-King,"Burnettbury, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
structural engineer,Pierce-Long,"Herbertside, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
immigration officer,Walker-Simpson,"Christopherport, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
python programmer (entry-level),Cooper and Sons,"West Victor, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
make,Snyder-Lee,"Angelastad, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"nurse, adult",Harris PLC,"Larrytown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
air broker,Washington PLC,"West Colin, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"editor, film/video","Brown, Price and Campbell","West Stephanie, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"production assistant, radio",Mcgee PLC,"Laurentown, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"engineer, communications",Dixon Inc,"Wrightberg, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
software developer (python),Adams-Brewer,"Brockburgh, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
futures trader,Schneider-Brady,"North Jason, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
tour manager,Gonzales-Frank,"Arnoldhaven, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
cytogeneticist,Smith-Wong,"Lake Destiny, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
python developer,Rivera and Sons,"East Michaelfort, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
manufacturing systems engineer,Garcia PLC,"Joybury, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"scientist, forensic",Gonzalez LLC,"Colehaven, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
retail banker,Hill LLC,"Port Billy, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
jewellery designer,Li-Gregory,"Adamburgh, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"back-end web developer (python, django)",Stewart-Alexander,"South Kimberly, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
licensed conveyancer,Abbott and Sons,"Benjaminland, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
counselling psychologist,Smith PLC,"Port Devonville, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
insurance underwriter,Patterson-Singh,"East Thomas, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"engineer, automotive",Martinez-Berry,"New Jeffrey, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"producer, radio","May, Taylor and Fisher","Davidside, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"back-end web developer (python, django)","Jackson, Ali and Mckee","New Elizabethside, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
print production planner,Wood Inc,"Port Jeremy, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
systems developer,Collins Group,"New Elizabethtown, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
graphic designer,Flores-Nelson,"Charlesstad, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
writer,"Mitchell, Jones and Olson","Josephbury, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
field seismologist,Howard Group,"Seanfurt, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
chief strategy officer,Kramer-Edwards,"Williambury, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
air cabin crew,Berry-Houston,"South Jorgeside, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
python programmer (entry-level),Mathews Inc,"Robertborough, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
warden/ranger,Riley-Johnson,"South Saratown, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
sports therapist,Spencer and Sons,"Hullview, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
arts development officer,Camacho-Sanchez,"Philipland, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
printmaker,Oliver and Sons,"North Patty, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
health and safety adviser,Eaton PLC,"North Stephen, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"programmer, applications",Bradley LLC,"Reyesstad, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
media planner,Kim-Miles,"North Johnland, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
software developer (python),Moreno-Rodriguez,"Martinezburgh, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
legal executive,Hartman PLC,"West Ericstad, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"librarian, academic",Brooks Inc,"Tuckertown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
barrister,Washington-Castillo,"Perezton, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
"radiographer, diagnostic",Holder LLC,"Jacobshire, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
database administrator,Yates-Ferguson,"Port Susan, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
furniture designer,Ortega-Lawrence,"North Tiffany, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
ship broker,"Fuentes, Walls and Castro","Michelleville, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
