Jop title,company,location,date,description,apply_link,scrape_date,skill_python,skill_javascript,skill_django,skill_flask,skill_sql,skill_aws,skill_docker
interpreter,Gregory and Sons,"Ramireztown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
architect,"Clark, Garcia and Sosa","Figueroaview, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
meteorologist,Bush PLC,"Kelseystad, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
audiological scientist,Salazar-Meyers,"Williamsburgh, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
english as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
surgeon,Cruz-Brown,"West Jessicabury, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
equities trader,Macdonald-Ferguson,"Maloneshire, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
materials engineer,Smith and Sons,"South Davidtown, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
python programmer (entry-level),"Moss, Duncan and Allen","Port Sara, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
product/process development scientist,Gomez-Carroll,"Marktown, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
data scientist,Thomas Group,"Port Robertfurt, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
psychiatrist,Silva-King,"Burnettbury, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
structural engineer,Pierce-Long,"Herbertside, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
immigration officer,Walker-Simpson,"Christopherport, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
python programmer (entry-level),Cooper and Sons,"West Victor, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
make,Snyder-Lee,"Angelastad, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"nurse, adult",Harris PLC,"Larrytown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
air broker,Washington PLC,"West Colin, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"editor, film/video","Brown, Price and Campbell","West Stephanie, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"production assistant, radio",Mcgee PLC,"Laurentown, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"engineer, communications",Dixon Inc,"Wrightberg, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
software developer (python),Adams-Brewer,"Brockburgh, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
futures trader,Schneider-Brady,"North Jason, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
tour manager,Gonzales-Frank,"Arnoldhaven, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
cytogeneticist,Smith-Wong,"Lake Destiny, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
python developer,Rivera and Sons,"East Michaelfort, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
manufacturing systems engineer,Garcia PLC,"Joybury, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"scientist, forensic",Gonzalez LLC,"Colehaven, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
retail banker,Hill LLC,"Port Billy, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
jewellery designer,Li-Gregory,"Adamburgh, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"back-end web developer (python, django)",Stewart-Alexander,"South Kimberly, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
licensed conveyancer,Abbott and Sons,"Benjaminland, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
counselling psychologist,Smith PLC,"Port Devonville, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
insurance underwriter,Patterson-Singh,"East Thomas, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"engineer, automotive",Martinez-Berry,"New Jeffrey, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"producer, radio","May, Taylor and Fisher","Davidside, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"back-end web developer (python, django)","Jackson, Ali and Mckee","New Elizabethside, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
print production planner,Wood Inc,"Port Jeremy, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
systems developer,Collins Group,"New Elizabethtown, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
graphic designer,Flores-Nelson,"Charlesstad, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
writer,"Mitchell, Jones and Olson","Josephbury, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
field seismologist,Howard Group,"Seanfurt, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
chief strategy officer,Kramer-Edwards,"Williambury, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
air cabin crew,Berry-Houston,"South Jorgeside, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
python programmer (entry-level),Mathews Inc,"Robertborough, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
warden/ranger,Riley-Johnson,"South Saratown, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
sports therapist,Spencer and Sons,"Hullview, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
arts development officer,Camacho-Sanchez,"Philipland, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
printmaker,Oliver and Sons,"North Patty, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
health and safety adviser,Eaton PLC,"North Stephen, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"programmer, applications",Bradley LLC,"Reyesstad, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
media planner,Kim-Miles,"North Johnland, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
